img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision_box,recall_box,f1_box,sensitivity_box,specificity_box,mean_iou_box,mean_dice_box,tp_pixels,fp_pixels,fn_pixels,tn_pixels,sensitivity_pixel,specificity_pixel,precision_pixel,dice_pixel,iou_pixel,accuracy_pixel
0,6287.18638420105,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.6994234720725685,0.8220639095034694,408897,18100,178820,442759,0.6957379146766216,0.9607255147452909,0.9576109434024127,0.8059354655597538,0.6749513466938035,0.8122024536132812
1,60.549259185791016,2,1,1,1,0,0.5,1.0,0.6666666666666666,1.0,0.5,0.6486751392411769,0.786904737994336,315924,37028,134811,560813,0.7009085160903857,0.938063799572127,0.8950905505564496,0.7861866622204913,0.6476998050282616,0.8361215591430664
2,54.17299270629883,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.6817774311304085,0.8098619769854892,399864,16334,187524,444854,0.6807493513657071,0.9645827731857723,0.9607542563875847,0.7968704226643257,0.6623313379336847,0.8055858612060547
3,46.36120796203613,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.6909378146237524,0.8157484939206251,400705,17485,184243,446143,0.6850267032283212,0.9622865745813454,0.9581888615222746,0.7989030422534088,0.6651445056960691,0.8076171875
4,58.14337730407715,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.6781907426208499,0.8068401071216703,391042,20224,188577,448733,0.6746535224000594,0.9568745108826608,0.9508250134949157,0.789278271444214,0.651907249063505,0.8008718490600586
5,52.182912826538086,5,3,2,3,1,0.4,0.6666666666666666,0.5,0.6666666666666666,0.4,0.7674771484090905,0.8684436435764714,348733,10403,317561,371879,0.5233920761705794,0.9727871048074458,0.9710332575960082,0.6801692948324117,0.5153458638061053,0.6872291564941406
6,60.10770797729492,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8276674412083286,0.9055836255391256,276072,3552,56914,712038,0.82907990125711,0.9950362637823335,0.9872972277057763,0.9012977261226556,0.8203293535945421,0.9423351287841797
7,46.87976837158203,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.6638570515932274,0.7931154429719584,170728,144197,33263,700388,0.8369388845586325,0.82926881249371,0.5421227276335635,0.6580178680171742,0.4903328087125346,0.8307609558105469
8,47.46389389038086,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8279740078586386,0.9055831046727618,273132,2424,59077,713943,0.8221691766327823,0.9966162595429437,0.9912032399947742,0.898807927406152,0.8162135832389513,0.9413480758666992
9,49.297332763671875,4,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,0.5,0.8240270134938199,0.9032981713484456,282404,43778,49657,672737,0.8504581989453744,0.9389014884545334,0.8657865854032412,0.858053940566022,0.7513962095471731,0.910893440246582
10,47.438859939575195,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8165006920991476,0.8989069418446287,273144,3968,59685,711779,0.8206736792767457,0.9944561416254626,0.9856808799330234,0.8956407259062762,0.8110048486180103,0.939295768737793
11,47.87731170654297,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8143576521299254,0.8975195135540375,272083,4882,60513,711098,0.8180585455026519,0.9931813737813905,0.9823732240535807,0.8927178740109686,0.8062244057390408,0.9376344680786133
12,46.679019927978516,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.820429905538858,0.9011885237603514,272517,3270,59815,712974,0.8200143230263712,0.9954345167289359,0.9881430234202483,0.8962620802836287,0.8120243621909286,0.9398374557495117
13,48.62022399902344,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8165321953548796,0.8989067031767597,273171,3265,60692,711448,0.8182128597658321,0.9954317327374764,0.9881889478939068,0.8952038263211967,0.8102886737381647,0.9390058517456055
14,47.55353927612305,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8267174431393247,0.904942743372011,273402,4194,56799,714181,0.8279865899860994,0.9941618235601183,0.9848917131370769,0.899649060459331,0.8176019378280177,0.9418325424194336
15,46.283721923828125,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8183777481376626,0.8999075960613541,272890,4430,59995,711261,0.8197725941391171,0.9938101778560859,0.984025674311265,0.8944207274604437,0.8090064183330121,0.9385595321655273
16,47.18947410583496,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8076260495427579,0.8934255996631056,271337,4166,63742,709331,0.8097702332882694,0.9941611527448608,0.9848785675655074,0.8887815232024527,0.7998260843932851,0.9352378845214844
17,46.45037651062012,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8244255626957602,0.9036014723410766,276304,2856,59431,709985,0.8229824117235319,0.9959934964459115,0.9897693079237713,0.8987030305987201,0.8160405917463843,0.9405984878540039
18,47.25813865661621,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8205904894363405,0.9010678927507413,273093,2620,62493,710370,0.8137794782857449,0.9963253341561593,0.9904973650136192,0.8934842033113092,0.8074753256890771,0.9379034042358398
19,46.91576957702637,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.819462305596811,0.900643563937678,273325,4203,59007,712041,0.8224456266624941,0.9941318880158159,0.9848555821394598,0.8963532614042568,0.8121740680761288,0.9397182464599609
20,47.75500297546387,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8185906014134627,0.9000783626652601,273325,3971,60041,711239,0.8198946503242682,0.9944477845667706,0.9856795626334314,0.895176054838847,0.8102431692936144,0.9389533996582031
