img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision_box,recall_box,f1_box,sensitivity_box,specificity_box,mean_iou_box,mean_dice_box,tp_pixels,fp_pixels,fn_pixels,tn_pixels,sensitivity_pixel,specificity_pixel,precision_pixel,dice_pixel,iou_pixel,accuracy_pixel
0,1729.6557426452637,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8742269277572632,0.9323963684108273,530280,2676,57437,458183,0.9022709909701438,0.9941934517932817,0.9949789476054308,0.9463599105180548,0.8981813808768058,0.9426717758178711
1,44.20661926269531,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,0.8761890530586243,0.9340093437068429,395560,0,55175,597841,0.877588827137897,1.0,1.0,0.9348040576867405,0.877588827137897,0.9473810195922852
2,76.15494728088379,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8540945649147034,0.9211032086808237,513633,846,73755,460342,0.8744356370916668,0.9981656070843127,0.9983556180135632,0.9322958215465206,0.8731780209916462,0.9288549423217773
3,43.70617866516113,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8574740886688232,0.9229918987490568,513160,0,71788,463628,0.877274561157573,1.0,1.0,0.9346257380876927,0.877274561157573,0.9315376281738281
4,48.81024360656738,2,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.863490879535675,0.9267454850659967,421674,0,157945,468957,0.7275020315069036,1.0,1.0,0.8422589591657986,0.7275020315069036,0.8493719100952148
5,50.345659255981445,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.810975968837738,0.8951458411873203,318059,0,348235,382282,0.4773553416359745,1.0,1.0,0.6462295538287586,0.4773553416359745,0.6678972244262695
6,48.05254936218262,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8930211067199707,0.9434708285484648,314529,19978,18457,695612,0.9445712432354514,0.9720817786721446,0.9402762871927942,0.9424188718083935,0.8911078750240817,0.9633455276489258
7,41.65530204772949,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.758895993232727,0.8563818840068018,156767,3225,47224,841360,0.7684995906682157,0.9961815566224832,0.9798427421371069,0.8613973729542314,0.7565390703420585,0.9518880844116211
8,40.7719612121582,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.882405161857605,0.9374923523114886,307730,13856,24479,702511,0.9263144586690908,0.9806579588395333,0.9569135472315337,0.9413654127058175,0.8892260124543078,0.9634408950805664
9,43.84016990661621,4,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,0.5,0.913711428642273,0.9548374137650433,311159,53770,20902,662745,0.9370537341030715,0.9249562116633986,0.8526562701237775,0.8928650339316202,0.8064644883381584,0.9287872314453125
