img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision,recall,f1,sensitivity,specificity,mean_iou,mean_dice
0,1711.6985321044922,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.6970531215419179,0.8203139590524856
1,50.750017166137695,2,1,1,1,0,0.5,1.0,0.6666666666666666,1.0,0.5,0.6486751392411769,0.786904737994336
2,41.478872299194336,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.6817774311304085,0.8098619769854892
3,32.03177452087402,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.6909378146237524,0.8157484939206251
4,32.46498107910156,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.6781907426208499,0.8068401071216703
5,31.63933753967285,5,3,2,3,1,0.4,0.6666666666666666,0.5,0.6666666666666666,0.4,0.7674771484090905,0.8684436435764714
6,32.166481018066406,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8276674412083286,0.9055836255391256
7,31.750917434692383,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.6646674264122517,0.7937821990549513
8,31.885147094726562,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8279740078586386,0.9055831046727618
9,32.05108642578125,4,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,0.5,0.8240270134938199,0.9032981713484456
10,32.29808807373047,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8165006920991476,0.8989069418446287
11,31.853914260864258,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8143576521299254,0.8975195135540375
12,32.5167179107666,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.820429905538858,0.9011885237603514
13,32.604217529296875,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8165321953548796,0.8989067031767597
14,31.928062438964844,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8267174431393247,0.904942743372011
15,31.73542022705078,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.819303917540404,0.9004520627168704
16,31.418561935424805,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8076260495427579,0.8934255996631056
17,32.08637237548828,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8244255626957602,0.9036014723410766
18,32.331228256225586,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8205904894363405,0.9010678927507413
19,31.66031837463379,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.819462305596811,0.900643563937678
20,32.08184242248535,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8185906014134627,0.9000783626652601
21,31.58116340637207,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8159735965373399,0.8985163301586092
22,31.78572654724121,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8240902595414228,0.9033949177268561
23,31.64529800415039,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8079088356728243,0.8937009241950222
24,31.755924224853516,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8112349489125772,0.895589083350296
25,33.384084701538086,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8196687306187657,0.9007094007397061
26,32.66167640686035,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8136135938610412,0.8970895164101651
27,32.5469970703125,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8321562339312676,0.908248352588716
28,32.3946475982666,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8161804135959327,0.8986959541988029
29,32.63044357299805,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8186407202041537,0.900124503991768
30,32.56034851074219,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8170871506689699,0.8991898531343625
31,32.4406623840332,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8293026016319985,0.9065163527218479
32,32.63044357299805,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8265632247466483,0.9048213391229409
33,32.477617263793945,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8283967859808299,0.9060703244419404
34,32.99403190612793,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8217212937214942,0.9020255335270874
35,32.55772590637207,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8382188382346605,0.9118932919820583
36,32.54055976867676,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8285284441112777,0.9060979393422863
37,32.35769271850586,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8128319030083123,0.8967401585580786
38,32.7908992767334,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8339525034762747,0.9092659682349071
39,32.55105018615723,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8143464841631036,0.897561074104898
40,32.40466117858887,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8157871183327803,0.8984174939061573
41,32.41276741027832,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8152864267552538,0.8980828680977617
42,32.79924392700195,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8093562762483877,0.8945108706538891
43,34.52348709106445,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8192913790032836,0.9005987359173221
44,32.6380729675293,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8277683323148447,0.905620386370366
45,32.60660171508789,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.811775909811578,0.8960167613113426
46,32.49621391296387,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8153702316162682,0.8981588673292826
47,32.49812126159668,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8151295338207578,0.898043716506651
48,32.95159339904785,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8250455126865117,0.9040230000062851
49,32.59396553039551,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8122187242140813,0.8963091956543345
50,32.456159591674805,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.819412541590631,0.9005484624458309
51,32.71746635437012,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8176085750257318,0.8995936539670184
52,33.97536277770996,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8151887718897205,0.8981029812574306
53,32.8977108001709,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8130725117558879,0.8968652052507728
54,32.68694877624512,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8141753282197244,0.8974953908994345
55,32.22250938415527,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8202591557483092,0.9011198104170621
56,32.90390968322754,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.7408870087661219,0.8500925448669031
57,32.021522521972656,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8130137510981735,0.8968398003840843
58,32.72724151611328,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8086464687726511,0.8940288969466481
59,32.540082931518555,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8145126981903268,0.8976160214334467
60,32.43565559387207,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8057996708109344,0.8923449040429514
