img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision_box,recall_box,f1_box,sensitivity_box,specificity_box,mean_iou_box,mean_dice_box,tp_pixels,fp_pixels,fn_pixels,tn_pixels,sensitivity_pixel,specificity_pixel,precision_pixel,dice_pixel,iou_pixel,accuracy_pixel
1,63.393592834472656,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9450934637285091,0.9716317409612371,568743,4327,18974,456532,0.9677157543511588,0.9906110111769544,0.9924494389865113,0.9799265498321398,0.9606431278756309,0.977778434753418
2,56.72764778137207,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,0.9635022928607511,0.9814119355643466,440599,6554,10136,591287,0.9775122854892564,0.9890372189261024,0.9853428244918406,0.9814119355643466,0.9635022928607511,0.9840831756591797
3,62.4542236328125,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9361806496039564,0.9668925743940388,568068,8192,19320,452996,0.967108623260945,0.9822371787644084,0.9857841946343664,0.9763571114288857,0.9538063736189932,0.9737625122070312
4,62.113046646118164,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9325405700668649,0.9649160908937229,564752,8749,20196,454879,0.9654738540861751,0.9811292674299222,0.9847445776031777,0.9750140057956802,0.9512461743953565,0.9723958969116211
5,62.91389465332031,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9320430414557459,0.9646380194726587,558014,8246,21605,460711,0.9627255145190202,0.9824162982960059,0.985437784763183,0.9739492564223622,0.9492213348302757,0.971531867980957
6,69.47064399719238,3,3,3,0,0,1.0,1.0,1.0,1.0,1.0,0.8680691635763628,0.9277736312473664,600991,498,65303,381784,0.9019907128084599,0.9986972967599834,0.9991720546842918,0.9480975845235344,0.9013170523941499,0.9372472763061523
7,62.97802925109863,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9210978161934635,0.9589089318340717,310061,2476,22925,713114,0.9311532616986901,0.996539918109532,0.9920777379958213,0.9606505112908448,0.9242805444431859,0.9757757186889648
8,62.10160255432129,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8809647153386522,0.9359881277679285,181458,1288,22533,843297,0.8895392443784285,0.9984749906758941,0.9929519661169054,0.9384051694045308,0.8839579304263953,0.9772825241088867
9,63.37094306945801,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9248788947840993,0.9609707524622138,309491,1976,22718,714391,0.9316153385368849,0.9972416373171852,0.9936558287073751,0.9616359783493559,0.9261067971333243,0.9764499664306641
10,63.1413459777832,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.915656084383619,0.9559375517576528,308129,2954,23932,713561,0.9279289046289688,0.9958772670495384,0.9905041419814005,0.9581959872128171,0.9197468770055072,0.9743595123291016
