img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision_box,recall_box,f1_box,sensitivity_box,specificity_box,mean_iou_box,mean_dice_box,tp_pixels,fp_pixels,fn_pixels,tn_pixels,sensitivity_pixel,specificity_pixel,precision_pixel,dice_pixel,iou_pixel,accuracy_pixel
1,48.746585845947266,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9446548739074883,0.9714910325726174,570753,9697,16964,451162,0.9711357677249425,0.9789588572643694,0.9832939960375571,0.9771770645806636,0.9553726561479978,0.974574089050293
2,41.71419143676758,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,0.9635327262006159,0.9814277229440697,441192,7155,9543,590686,0.9788279144064694,0.98803193491246,0.9840413786642935,0.9814277229440697,0.9635327262006159,0.9840755462646484
3,48.528194427490234,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9433153024759732,0.9707819241099392,570792,9994,16596,451194,0.9717461030868864,0.9783298784877317,0.9827922849379979,0.9772379799584651,0.9554891175160952,0.9746417999267578
4,48.21944236755371,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.944941711088189,0.9716461553204946,568934,9962,16014,453666,0.9726232075329773,0.9785129457237268,0.9827913822171858,0.977680857571977,0.9563362525424014,0.9752273559570312
5,50.161123275756836,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9405699335678204,0.9692741665310883,561204,8858,18415,460099,0.9682291298249367,0.9811112745944724,0.984461339292919,0.9762777674850676,0.9536549431838458,0.9739904403686523
6,53.7872314453125,3,3,3,0,0,1.0,1.0,1.0,1.0,1.0,0.880230067888505,0.9342038281504753,606499,518,59795,381764,0.9102573338496219,0.998644979360786,0.9991466466342788,0.9526329388499746,0.9095502180524646,0.9424810409545898
7,48.27451705932617,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9287130931643308,0.9630183284110732,313500,3380,19486,712210,0.9414810232262018,0.9952766248829638,0.9893335016409998,0.9648142847910185,0.9320204776939405,0.9781932830810547
8,47.6841926574707,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8496601747671402,0.9166607145351438,175565,1420,28426,843165,0.8606507149825238,0.9983187009004423,0.9919767211910614,0.9216591071353576,0.8547010627473699,0.9715366363525391
9,49.80659484863281,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9340585047095635,0.9658901356127536,313118,1998,19091,714369,0.9425331643633977,0.9972109268014858,0.9936594777796113,0.967421310778975,0.9368983893215881,0.9798879623413086
10,48.55847358703613,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9246308990802106,0.9607770031915064,311684,2993,20377,713522,0.9386347689129407,0.9958228369259541,0.9904886598003667,0.963864810788913,0.9302500492457932,0.9777126312255859
11,49.14546012878418,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9140572227643415,0.955038200301636,308756,2956,24073,712791,0.9276715670809935,0.9958700490536461,0.9905168873832255,0.9580647313359429,0.9195050404276546,0.9742231369018555
12,48.703908920288086,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9262141769796832,0.9616840404881724,312630,4120,19966,711860,0.9399692118967156,0.9942456493198134,0.9869928966061563,0.962907294416228,0.9284679076729351,0.9770298004150391
13,51.36251449584961,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9263351720001026,0.961720427542735,312512,3432,19820,712812,0.9403608439753018,0.995208336823764,0.9891373154736283,0.9641325608228594,0.9307489784491488,0.9778251647949219
14,48.63595962524414,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9178189515010104,0.9570868237452799,312682,4757,21181,709956,0.9365578096404813,0.9933441815106203,0.9850144437198958,0.9601751568396842,0.9234008623235486,0.9752635955810547
15,49.091339111328125,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9356226214081804,0.9667249500650983,312692,2985,17509,715390,0.9469747214575365,0.9958447885853489,0.9905441321350621,0.9682695493576187,0.9384908129393191,0.9804553985595703
16,48.11739921569824,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.927179119305926,0.9621814902835746,312801,3003,20084,712688,0.9396668519158268,0.9958040551019923,0.9904909374168788,0.9644097556764489,0.9312657790692136,0.9779825210571289
17,49.43656921386719,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9240979000953293,0.9604940556965311,314670,3453,20409,710044,0.9390919753252218,0.9951604561757093,0.9891457077922691,0.96346918717334,0.9295133104108326,0.9772434234619141
18,48.151493072509766,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9209080190556451,0.9587977808707279,312748,2484,22987,710357,0.9315323097085499,0.9965153519508558,0.9921200893310324,0.9608720564944152,0.9246908068440862,0.9757089614868164
19,47.97506332397461,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9225185250276722,0.959687432709073,312682,2494,22904,710496,0.9317492386452355,0.9965020547272753,0.9920869609361119,0.9609719067800517,0.9248757690487459,0.9757785797119141
20,49.5305061340332,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9224743621929385,0.9596366823577556,310764,2980,21568,713264,0.9351010435347785,0.9958394066826389,0.9905018103931869,0.9620044700623456,0.9267905711695377,0.9765892028808594
21,49.08919334411621,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9205419401229553,0.9585941078076355,311001,2988,22365,712222,0.9329115746656828,0.9958222060653514,0.9904837430610627,0.9608360173320667,0.9246240567973029,0.9758214950561523
22,48.037052154541016,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9205979453666756,0.9586029546132153,312380,2990,22045,711161,0.9340808851012933,0.9958132103714761,0.9905190728350826,0.9614724643926161,0.9258035357052887,0.9761247634887695
23,50.44889450073242,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9238091805040715,0.9603650660924059,311075,2975,21257,713269,0.9360368547115535,0.9958463875439096,0.9905269861487024,0.9625113323081398,0.9277318994235134,0.9768905639648438
24,48.226118087768555,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9210651874054984,0.9588478540359486,312046,3869,20828,711833,0.937429778234407,0.9945941187812805,0.9877530348353196,0.9619336949300928,0.9266592030123862,0.9764471054077148
25,49.38554763793945,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9165476647010274,0.956397990359579,313686,3255,23278,708357,0.930918436390831,0.9954258781470802,0.9897299497382793,0.9594237695078032,0.9220119981541302,0.974696159362793
26,48.31385612487793,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9286736917894943,0.9630112202263761,313261,2494,20886,711935,0.9374945757406171,0.9965091002744849,0.9921014710772593,0.9640253453597619,0.9305491606785864,0.9777030944824219
27,48.922061920166016,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9190951581158134,0.9578034084475442,311376,2978,22821,711401,0.9317139292094184,0.995831344426418,0.990526603765182,0.9602205532024467,0.9234848372506859,0.9753961563110352
28,48.213958740234375,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9359507408119574,0.9668984178557152,312252,1988,18303,716033,0.9446294867722467,0.9972312787509,0.9936736252545825,0.96853108352267,0.9389823270975483,0.9806489944458008
29,48.22134971618652,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9252614093156929,0.961145849969034,311748,4117,19545,713166,0.9410038847787306,0.994260284992116,0.9869659506434711,0.9634370586471928,0.9294535046659312,0.9774341583251953
30,51.72014236450195,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9374003608648906,0.9676617333103477,316394,2010,17774,712398,0.9468111847932776,0.9971864816743373,0.9936872652353613,0.9696830388064459,0.9411502239884822,0.9811325073242188
31,48.46358299255371,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9260466068251038,0.9615775411083348,311748,2988,20579,713261,0.9380760515997797,0.995828266426899,0.990506329113924,0.9635785078114496,0.9297168334252867,0.9775247573852539
32,48.00081253051758,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9207238124096779,0.9586752330052506,309573,2963,21877,714163,0.9339960778397949,0.9958682295719302,0.9905194921545039,0.9614277329010258,0.9257205910057325,0.9763107299804688
33,49.99232292175293,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9361556929330493,0.9670005651106823,313242,1992,18077,715265,0.9454392896272172,0.9972227527929319,0.9936808846761453,0.9689600079189177,0.9397889658607127,0.980860710144043
34,49.03888702392578,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9271220662790429,0.9621511051448808,311682,1983,21058,713853,0.9367133497625774,0.9972298124151342,0.9936779685333078,0.9643551643319591,0.9311639773783098,0.9780263900756836
35,48.34294319152832,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9279601095959895,0.9626050766567577,313065,3875,19035,712601,0.9426829268292682,0.994591584365701,0.9877737111125134,0.9647017132996425,0.9318104025597143,0.9781513214111328
