img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision,recall,f1,mean_iou
0,545.551061630249,2,2,2,0,0,1.0,1.0,1.0,0.8951702753893968
1,52.034616470336914,2,2,2,0,0,1.0,1.0,1.0,0.9011837332958283
2,51.633596420288086,2,2,2,0,0,1.0,1.0,1.0,0.9120241912188659
3,51.92995071411133,2,2,2,0,0,1.0,1.0,1.0,0.89655660526942
4,51.839351654052734,2,2,2,0,0,1.0,1.0,1.0,0.9112628769619608
5,51.69343948364258,2,2,2,0,0,1.0,1.0,1.0,0.9105202603556997
6,51.865577697753906,2,2,2,0,0,1.0,1.0,1.0,0.9259245342663032
7,51.75590515136719,2,2,2,0,0,1.0,1.0,1.0,0.9137029270135506
8,51.60236358642578,2,2,2,0,0,1.0,1.0,1.0,0.9379827503401477
9,51.638126373291016,2,2,2,0,0,1.0,1.0,1.0,0.9173551778992264
10,52.269935607910156,2,2,2,0,0,1.0,1.0,1.0,0.8927531544043945
11,53.45630645751953,2,2,2,0,0,1.0,1.0,1.0,0.9001469969628411
12,49.63517189025879,2,2,2,0,0,1.0,1.0,1.0,0.8902560892405396
13,51.900386810302734,2,2,2,0,0,1.0,1.0,1.0,0.8827103492212292
14,52.12545394897461,2,2,2,0,0,1.0,1.0,1.0,0.9356943897038303
15,51.694393157958984,2,2,2,0,0,1.0,1.0,1.0,0.8793668797799494
16,51.503896713256836,2,2,2,0,0,1.0,1.0,1.0,0.9172083402325966
17,53.205013275146484,2,2,2,0,0,1.0,1.0,1.0,0.9283120188235261
18,51.59783363342285,2,2,2,0,0,1.0,1.0,1.0,0.9351192924771665
19,53.812503814697266,2,2,2,0,0,1.0,1.0,1.0,0.9224434213165186
20,51.81002616882324,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8345062147975026
21,53.615570068359375,2,2,2,0,0,1.0,1.0,1.0,0.9114918341960097
22,51.32937431335449,2,2,2,0,0,1.0,1.0,1.0,0.9216461812773334
23,51.83529853820801,2,2,2,0,0,1.0,1.0,1.0,0.908271026262819
24,51.93471908569336,2,2,2,0,0,1.0,1.0,1.0,0.9088501792893924
25,51.78356170654297,2,2,2,0,0,1.0,1.0,1.0,0.9063337564512306
26,51.53512954711914,2,2,2,0,0,1.0,1.0,1.0,0.8286216566128193
27,51.55801773071289,2,2,2,0,0,1.0,1.0,1.0,0.8829857339940843
28,51.79309844970703,2,2,2,0,0,1.0,1.0,1.0,0.9009775815826817
29,51.590681076049805,2,2,2,0,0,1.0,1.0,1.0,0.9449839970423626
30,51.78570747375488,2,2,2,0,0,1.0,1.0,1.0,0.9394704296305847
31,52.018165588378906,2,2,2,0,0,1.0,1.0,1.0,0.8422734031059091
32,51.90777778625488,2,2,2,0,0,1.0,1.0,1.0,0.9105753402282897
33,52.0932674407959,2,2,2,0,0,1.0,1.0,1.0,0.8525038720025373
34,52.37770080566406,2,2,2,0,0,1.0,1.0,1.0,0.9192797254133693
35,51.59783363342285,2,2,2,0,0,1.0,1.0,1.0,0.8273819554642474
36,51.77497863769531,2,2,2,0,0,1.0,1.0,1.0,0.8354571511866776
37,52.5355339050293,2,2,2,0,0,1.0,1.0,1.0,0.8815956510663575
38,52.39748954772949,2,2,2,0,0,1.0,1.0,1.0,0.8471409641869461
39,52.178382873535156,2,2,2,0,0,1.0,1.0,1.0,0.9173834043361744
40,52.15787887573242,2,2,2,0,0,1.0,1.0,1.0,0.7766815820863702
41,53.81894111633301,2,2,2,0,0,1.0,1.0,1.0,0.853564468730855
42,51.494598388671875,2,2,2,0,0,1.0,1.0,1.0,0.857581098999542
