img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision,recall,f1,mean_iou
0,1519.1104412078857,2,2,2,0,0,1.0,1.0,1.0,0.8241415422747411
1,1072.6313591003418,2,2,2,0,0,1.0,1.0,1.0,0.8563482578337611
2,1072.479009628296,2,2,2,0,0,1.0,1.0,1.0,0.9248100080176296
3,1070.6787109375,2,2,2,0,0,1.0,1.0,1.0,0.8992016580043883
4,1074.2404460906982,2,2,2,0,0,1.0,1.0,1.0,0.91518128104377
5,1073.4052658081055,2,2,2,0,0,1.0,1.0,1.0,0.9150619220392244
6,1074.6071338653564,2,2,2,0,0,1.0,1.0,1.0,0.9240832545636677
7,1074.502944946289,2,2,2,0,0,1.0,1.0,1.0,0.9151706460186737
8,1073.237657546997,2,2,2,0,0,1.0,1.0,1.0,0.9418112645646697
9,1072.8843212127686,2,2,2,0,0,1.0,1.0,1.0,0.9000972901202265
10,1073.1451511383057,2,2,2,0,0,1.0,1.0,1.0,0.8893302106742575
11,1076.5841007232666,2,2,2,0,0,1.0,1.0,1.0,0.8975472774911938
12,1074.075698852539,2,2,2,0,0,1.0,1.0,1.0,0.8985638661704731
13,1053.3175468444824,2,2,2,0,0,1.0,1.0,1.0,0.8993000522934947
14,1044.3382263183594,2,2,2,0,0,1.0,1.0,1.0,0.9369427361880752
15,1051.7394542694092,2,2,2,0,0,1.0,1.0,1.0,0.9193393433367754
16,1075.7336616516113,1,2,0,1,2,0.0,0.0,0.0,0.0
17,1073.8029479980469,2,2,2,0,0,1.0,1.0,1.0,0.9435203955325764
18,1069.68355178833,2,2,2,0,0,1.0,1.0,1.0,0.9311440103664415
19,1076.2007236480713,2,2,2,0,0,1.0,1.0,1.0,0.9262259001260116
20,1074.2971897125244,2,2,2,0,0,1.0,1.0,1.0,0.9273259798057096
21,1076.7061710357666,2,2,2,0,0,1.0,1.0,1.0,0.922440904507199
22,1075.3023624420166,2,2,2,0,0,1.0,1.0,1.0,0.9175526409279433
23,1077.629566192627,2,2,2,0,0,1.0,1.0,1.0,0.8927589893419635
24,1075.2224922180176,2,2,2,0,0,1.0,1.0,1.0,0.913483952185915
25,1078.1145095825195,2,2,2,0,0,1.0,1.0,1.0,0.9194169706434339
26,1076.7004489898682,2,2,2,0,0,1.0,1.0,1.0,0.8325361097212629
27,1081.1982154846191,2,2,2,0,0,1.0,1.0,1.0,0.89999295900577
28,1078.995943069458,2,2,2,0,0,1.0,1.0,1.0,0.9059097346742548
29,1077.160358428955,2,2,2,0,0,1.0,1.0,1.0,0.9485785719572477
30,1077.4929523468018,2,2,2,0,0,1.0,1.0,1.0,0.9497982114049932
31,1077.1801471710205,2,2,2,0,0,1.0,1.0,1.0,0.917690866924479
