img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision,recall,f1,sensitivity,specificity,mean_iou,mean_dice
0,180.13644218444824,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8887846300070263,0.9410551518981216
1,29.968738555908203,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,0.8732758716318901,0.9323515931170804
2,30.188798904418945,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8839244054265459,0.9383726691577229
3,30.248641967773438,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.882055873368245,0.9372702033874167
4,30.034780502319336,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8853779661406302,0.9390763883825934
5,30.16829490661621,3,3,3,0,0,1.0,1.0,1.0,1.0,1.0,0.8061989085579148,0.8918455009092497
6,29.829025268554688,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.88952922656614,0.9414286602998305
7,29.875516891479492,4,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,0.5,0.8435046776053279,0.9149820274440619
8,31.404972076416016,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8858182029154225,0.9392628193912829
9,31.853199005126953,4,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,0.5,0.8921829111711707,0.9428918065735594
10,32.61685371398926,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8731244102499627,0.931679885538105
11,29.76083755493164,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8945843929033075,0.94428002335087
12,30.23672103881836,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.884079660674616,0.9382546844674914
13,29.967069625854492,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8828633557709895,0.9375805952525598
14,30.26103973388672,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9066299551910122,0.9509625020924476
15,29.95753288269043,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8784457903838037,0.9350256947416835
16,30.340194702148438,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8817720858688354,0.9369893934079212
17,30.100584030151367,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8813895811337522,0.9367775059748089
18,30.208349227905273,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8803235167148589,0.9362076490582849
19,29.959678649902344,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8830758237325702,0.9376443265265142
20,30.429601669311523,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8701941639787472,0.9302223608986049
21,29.91628646850586,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8784113745812665,0.9349763148936396
22,29.932022094726562,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.878922770130771,0.9350798976772727
23,29.813766479492188,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8868522908968963,0.9398300491355556
24,30.489444732666016,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8621831715458697,0.9256183024300373
25,30.425310134887695,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8837842523449084,0.9379421028423091
26,30.172348022460938,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8878462506734446,0.940473490182361
27,30.048608779907227,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8950246238482258,0.9444628244049038
28,29.42633628845215,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8891038230000831,0.9411239115724483
29,29.433250427246094,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8927283753762585,0.9431812337688422
30,29.881715774536133,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8755510992355238,0.9333406911202464
31,30.101776123046875,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8842220377512662,0.9381999411588902
32,30.335664749145508,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.888547883854724,0.9407142199427982
33,29.94704246520996,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8856840093008798,0.9389721274443021
34,30.245065689086914,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8910940902853571,0.9422405477999132
35,29.788970947265625,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9030500260637921,0.9485981219044077
36,30.32064437866211,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.915236573340738,0.9556805350484419
37,29.998302459716797,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8874960156436951,0.9399937082648218
38,30.152559280395508,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8949097479899218,0.9444002974212575
39,30.034542083740234,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.89768102287542,0.9459417353151985
40,30.14659881591797,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8915881011259204,0.9425203323468951
41,32.20820426940918,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8860902255201886,0.939490878893241
42,30.233144760131836,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8836623771432086,0.9380833548453994
43,30.103206634521484,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.889600700039255,0.941385639112803
44,31.140565872192383,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.89212192504241,0.9428138649173774
45,29.925823211669922,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8833270965686675,0.9378667141566503
46,29.91032600402832,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8887226867872189,0.9409535188678704
