img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision_box,recall_box,f1_box,sensitivity_box,specificity_box,mean_iou_box,mean_dice_box,tp_pixels,fp_pixels,fn_pixels,tn_pixels,sensitivity_pixel,specificity_pixel,precision_pixel,dice_pixel,iou_pixel,accuracy_pixel
0,47.79338836669922,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8887846300070263,0.9410551518981216,520512,612,67205,460247,0.8856507468730699,0.9986720450289568,0.9988256154005573,0.9388397434799038,0.8847294625966083,0.9353246688842773
1,35.736799240112305,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,0.8732758716318901,0.9323515931170804,393616,0,57119,597841,0.8732758716318901,1.0,1.0,0.9323515931170805,0.8732758716318901,0.9455270767211914
2,29.086589813232422,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8839244054265459,0.9383726691577229,521190,912,66198,460276,0.8873010684590084,0.9980224984171314,0.9982532148890446,0.9395127491009383,0.8859255481896992,0.9359989166259766
3,29.311180114746094,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.882055873368245,0.9372702033874167,515730,918,69218,462710,0.8816681140887737,0.9980199642817086,0.9982231616110001,0.9363323759345531,0.8802866184417597,0.9331130981445312
4,27.919292449951172,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8853779661406302,0.9390763883825934,510494,590,69125,468367,0.8807406244446783,0.9987418889151883,0.9988455909400412,0.936082508253851,0.8798450213629916,0.9335145950317383
5,28.995513916015625,3,3,3,0,0,1.0,1.0,1.0,1.0,1.0,0.8061989085579148,0.8918455009092497,579728,464,86566,381818,0.8700783738109603,0.9987862363386192,0.9992002647399482,0.9301797212323283,0.8694728822151365,0.9170017242431641
6,36.62848472595215,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.88952922656614,0.9414286602998305,300780,2422,32206,713168,0.9032812190302295,0.9966153803155439,0.9920119260427042,0.9455695486239917,0.8967585746314936,0.9669761657714844
7,28.486251831054688,4,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,0.5,0.8435046776053279,0.9149820274440619,172966,166854,31025,677731,0.8479099568118201,0.8024426197481603,0.5089929962921547,0.6361254185737324,0.4664104949507207,0.8112878799438477
8,27.093887329101562,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8858182029154225,0.9392628193912829,299231,1924,32978,714443,0.9007311662236724,0.9973142258088382,0.9936112633029504,0.9448942472259237,0.8955445885321115,0.9667148590087891
9,29.35504913330078,4,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,0.5,0.8921829111711707,0.9428918065735594,302901,46284,29160,670231,0.9121848094175468,0.9354040041031939,0.8674513510030499,0.8892558635206665,0.8005946953177655,0.9280509948730469
10,29.650449752807617,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8731244102499627,0.931679885538105,298622,2902,34207,712845,0.8972234991542203,0.9959454947069286,0.9903755588278214,0.9415010254542817,0.8894680562712409,0.9646100997924805
11,28.8393497467041,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8945843929033075,0.94428002335087,302451,3158,30145,712822,0.9093645143056441,0.9955892622698959,0.9896665346897506,0.9478177074764378,0.9008113082792759,0.9682397842407227
12,35.57181358337402,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.884079660674616,0.9382546844674914,299775,2904,32557,713340,0.9020347122756761,0.9959455157739542,0.9904056773016958,0.9441568728730684,0.8942207877435597,0.966181755065918
13,39.064884185791016,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8828633557709895,0.9375805952525598,300640,2906,33223,711807,0.9004891227838964,0.9959340322619009,0.9904264921955815,0.943318967884043,0.8927187478657478,0.9655447006225586
14,32.61899948120117,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9066299551910122,0.9509625020924476,303939,2929,26262,715446,0.9204666248739404,0.9959227423003306,0.9904551794256814,0.9541792176357663,0.9123735478641971,0.9721612930297852
15,31.63433074951172,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8784457903838037,0.9350256947416835,298745,2896,34140,712795,0.8974420595701218,0.9959535609641591,0.9903991831349187,0.9416320213828905,0.8897019188101769,0.9646797180175781
16,27.923107147216797,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8817720858688354,0.9369893934079212,301168,2909,33911,710588,0.8987970001104217,0.9959228980640423,0.9904333441858476,0.942392780479257,0.8910612211084418,0.9648857116699219
17,29.49666976928711,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8813895811337522,0.9367775059748089,301181,2422,34554,710419,0.8970795419006061,0.9966023278683466,0.9920224767212446,0.9421651771050681,0.8906543410309412,0.9647369384765625
18,27.934551239013672,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8803235167148589,0.9362076490582849,300423,2418,35163,710572,0.8952191092596234,0.9966086480876309,0.9920156121529119,0.9411350083878032,0.8888149252671566,0.9641599655151367
19,28.90944480895996,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8830758237325702,0.9376443265265142,299772,2912,32560,713332,0.9020256851582152,0.9959343463959209,0.9903794055847022,0.9441399901734759,0.8941905000536923,0.9661712646484375
20,28.280019760131836,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8701941639787472,0.9302223608986049,297015,2892,36351,712318,0.8909576861467576,0.9959564323765048,0.9903570106733087,0.9380314651027282,0.8832949699338009,0.9625749588012695
21,33.29801559448242,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8784113745812665,0.9349763148936396,300260,2912,34165,711239,0.8978395753905958,0.995922430970481,0.9903948913488053,0.9418488480968386,0.8900891393472996,0.9646406173706055
22,26.981353759765625,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.878922770130771,0.9350798976772727,299665,2909,32667,713335,0.9017037179687782,0.9959385349126834,0.9903858229722315,0.9439665084280192,0.8938793286024084,0.9660720825195312
23,32.303810119628906,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8868522908968963,0.9398300491355556,301062,2911,31812,712791,0.9044323077200382,0.9959326647124083,0.9904234915601057,0.9454767000551153,0.896591569009932,0.9668855667114258
24,28.437137603759766,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8621831715458697,0.9256183024300373,297702,3128,39262,708484,0.8834831020524447,0.9956043461886533,0.9896021008543031,0.9335365337397341,0.8753572562718324,0.9595737457275391
25,28.35392951965332,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8837842523449084,0.9379421028423091,301947,2426,32200,712003,0.9036352264123275,0.996604281181195,0.9920295164157136,0.9457714715279083,0.8971218725209688,0.9669780731201172
26,28.299808502197266,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8878462506734446,0.940473490182361,301824,2915,32373,711464,0.9031319850267956,0.995919532909002,0.9904344373381812,0.9447706812575908,0.8953226227485227,0.9663467407226562
27,27.814626693725586,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8950246238482258,0.9444628244049038,300363,1926,30192,716095,0.9086627036347961,0.9973176272003187,0.9936286136776397,0.9492481559436449,0.9033989912205509,0.9693698883056641
28,28.27143669128418,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8891038230000831,0.9411239115724483,300402,3144,30891,714139,0.906756255037082,0.995616792813994,0.9896424265185507,0.9463879818347644,0.898231954000305,0.9675416946411133
29,28.506755828857422,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8927283753762585,0.9431812337688422,302851,1942,31317,712466,0.9062836657010845,0.9972816653788872,0.9936284625959257,0.9479483098342465,0.9010472761893428,0.9682817459106445
30,26.627063751220703,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8755510992355238,0.9333406911202464,297554,2887,34773,713362,0.8953651072588144,0.9959692788401798,0.9903907922021296,0.9404837159906948,0.8876538569391493,0.9640846252441406
31,29.861927032470703,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8842220377512662,0.9381999411588902,299936,2905,31514,714221,0.904920802534319,0.9959491079670797,0.990407507569979,0.9457362630086191,0.8970585156495342,0.9671754837036133
32,26.953935623168945,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.888547883854724,0.9407142199427982,299970,1924,31349,715333,0.9053812187046321,0.9973175584204825,0.993626902157711,0.9474537004136049,0.9001539417182056,0.9682683944702148
