img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision,recall,f1,sensitivity,specificity,mean_iou,mean_dice
0,31.278371810913086,2,2,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,21.35610580444336,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,0.6574772316327776,0.7933469239696259
2,22.128582000732422,2,2,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,21.202564239501953,2,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5990475601459583,0.7492554631599304
4,21.757841110229492,2,2,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,21.1789608001709,3,3,3,0,0,1.0,1.0,1.0,1.0,1.0,0.7882331693802409,0.8779953141147842
6,20.98846435546875,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8920681797725232,0.9428713287682325
7,20.930051803588867,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8476580334184844,0.9164392496056
8,21.7742919921875,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8917750825663613,0.9426978707477787
9,20.810365676879883,4,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,0.5,0.8697689666221595,0.9302095324026467
10,21.127700805664062,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8704463774338413,0.930628295800471
11,21.12603187561035,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8981004844542986,0.946314824475893
12,20.894289016723633,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8740258645940686,0.9327411621409654
13,21.503686904907227,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8727150444995833,0.9320288875705509
14,24.17302131652832,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8957568971192741,0.9449630396952902
15,21.230220794677734,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.899959708984619,0.9471861853383852
16,21.259307861328125,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9080065501277372,0.9515547983898275
17,21.3620662689209,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8916171607976687,0.9426698601376783
18,20.875215530395508,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8969390516746267,0.9456661860588297
19,20.824909210205078,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8909667694556028,0.9419712756404675
20,21.29673957824707,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8899127315183325,0.9414719371298177
21,21.152019500732422,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.890785092907058,0.9420005583725939
22,21.61860466003418,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8883685214890433,0.9404929713467085
23,21.03257179260254,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9086815110111466,0.9520617208477151
24,21.14725112915039,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8893176583825679,0.9412636172227015
25,21.070241928100586,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9041088496659708,0.9493978033152608
26,21.231412887573242,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8965667752018567,0.9454032745495089
27,21.132707595825195,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8933076894885441,0.9435875972390293
28,21.038055419921875,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.904670436862987,0.9498264129896967
29,20.978450775146484,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9012862638811898,0.94782452675009
30,21.086692810058594,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8876548735092763,0.940437944360553
31,21.198034286499023,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.887024234350712,0.9399567543420585
32,21.139144897460938,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8815313158018427,0.9367708810461071
33,21.337032318115234,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.889155452291361,0.941161770358512
34,21.10433578491211,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8986967735714484,0.9465819022635131
35,21.60477638244629,4,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,0.5,0.8907502216772982,0.9420112934835942
36,21.46434783935547,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9225914963711364,0.9597265603383602
37,21.51656150817871,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8781693097356591,0.9349927305788801
38,21.248579025268555,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8982225038516333,0.946176666324872
39,25.585651397705078,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9059890163419573,0.9504870765538298
40,21.215200424194336,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9033807963063911,0.9491485568027872
41,21.219730377197266,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8997117515620534,0.9471415377823553
42,21.170616149902344,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8927339557185157,0.9431964904667314
43,21.212100982666016,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9102939555306935,0.9529429705043497
44,21.13962173461914,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9211423407679442,0.9589403262362873
45,21.396636962890625,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9048332974710405,0.9499370256389623
46,21.0263729095459,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9044211843069914,0.9497354476863789
47,20.98870277404785,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9091867313308923,0.9524003195002131
48,21.14391326904297,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9210264407897455,0.9588236986856491
49,21.216154098510742,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8812512801234538,0.9367687412132581
50,21.117687225341797,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9086008250604956,0.9520504903677725
51,25.06732940673828,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8902837764322391,0.9417254504303445
52,21.245241165161133,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8958889144967864,0.9448819469129037
53,21.344661712646484,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8772994500511895,0.9343533086927605
54,21.027803421020508,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8966076547337148,0.9452328097205369
55,21.126508712768555,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.899022469610422,0.9466836606853155
56,20.86949348449707,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8000971560392185,0.8843423533507424
57,21.197080612182617,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.89574976865887,0.9448197869567063
58,22.47023582458496,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8888300310223923,0.941003012279019
59,21.37136459350586,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.897755548982927,0.9460188929567865
60,21.17609977722168,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.895977509061765,0.9450085346381283
61,22.42112159729004,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.899612510934518,0.9470688969004425
62,23.67424964904785,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9004002465002312,0.9475209604414553
63,21.11077308654785,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9031799484787213,0.9490453642585759
64,22.362232208251953,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8961569325705294,0.9449896775704968
65,21.58212661743164,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8871325634634994,0.9401185519151072
66,21.15464210510254,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.7457770235289705,0.8454571549389891
67,24.018049240112305,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8968619342472082,0.9454006873026963
68,21.40974998474121,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8857681997288863,0.9393134741307433
69,21.067380905151367,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8967808206332288,0.945541447675565
70,21.996259689331055,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9004982269390296,0.9475100894196935
71,22.19843864440918,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8925817624806666,0.9431116693386736
72,20.926713943481445,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8928825442695085,0.9432165217903367
73,20.930051803588867,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9012948737564186,0.948021315032876
74,21.08597755432129,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9028987334705469,0.948853573054947
75,21.003246307373047,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8961226903469403,0.9451034602819004
76,20.656824111938477,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9032583205336877,0.9491408489320086
77,20.862579345703125,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.894912507179941,0.9443613635085736
78,20.608901977539062,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8862947748929897,0.9395237966220591
79,25.850772857666016,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8962837552189675,0.9451254229149266
80,20.8585262298584,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9012068430488533,0.9479079078186616
81,20.842313766479492,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.896374840476796,0.9451946649177192
82,21.052837371826172,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8991729145037013,0.9467085552743183
83,20.853281021118164,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8995616617941198,0.9469317336074788
84,20.813941955566406,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8928800820758168,0.9433091918475984
85,21.51966094970703,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8947449800822747,0.9441752262631022
86,20.839214324951172,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9051098776261903,0.9499556998431737
87,20.86663246154785,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.895220120902186,0.9445673312790183
88,20.86639404296875,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8969534880763687,0.945434192991499
89,20.855426788330078,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8989251003792393,0.9467263256238962
90,20.67112922668457,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9031947649966294,0.9490534028077148
91,21.09384536743164,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9078787290563906,0.9516238902728262
92,20.77198028564453,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9082073922280651,0.9517283622800515
93,20.870447158813477,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8957354810184348,0.9449067118273755
94,21.214008331298828,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.893922591046681,0.9438765320258558
95,21.15488052368164,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8953944603374167,0.9446322215595823
96,21.199464797973633,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8884469601244855,0.9408450284899725
97,25.02727508544922,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8951123001910082,0.9444573346449041
98,21.4693546295166,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8797161791523909,0.9359150727892652
99,23.283720016479492,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.7670960357321132,0.855817763246021
100,21.317720413208008,4,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,0.5,0.8348588659785474,0.9097547479394281
101,21.032094955444336,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8691758982883511,0.9291635651459491
102,22.8426456451416,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9034678089978538,0.949235841711936
103,21.126270294189453,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.7361530008784358,0.8325678110617227
104,20.832061767578125,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.5,0.33333333333333337,0.9288694308524337,0.9631231808593019
105,21.146535873413086,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.7672084129295186,0.8664296593469409
106,20.734786987304688,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.5,0.33333333333333337,0.9317446756575334,0.9646664876561735
