img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision_box,recall_box,f1_box,sensitivity_box,specificity_box,mean_iou_box,mean_dice_box,tp_pixels,fp_pixels,fn_pixels,tn_pixels,sensitivity_pixel,specificity_pixel,precision_pixel,dice_pixel,iou_pixel,accuracy_pixel
0,1365.009069442749,2,2,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259731,0,327986,460859,0.44193208636129294,1.0,1.0,0.6129721233633214,0.44193208636129294,0.6872081756591797
1,51.91850662231445,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,0.6574772316327776,0.7933469239696259,296348,0,154387,597841,0.6574772316327776,1.0,1.0,0.7933469239696259,0.6574772316327776,0.8527650833129883
2,51.51200294494629,2,2,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268220,0,319168,461188,0.456631732347273,1.0,1.0,0.6269693598002823,0.456631732347273,0.69561767578125
3,31.339406967163086,2,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5990475601459583,0.7492554631599304,308364,0,276584,463628,0.5271648078119765,1.0,1.0,0.6903836509528586,0.5271648078119765,0.7362289428710938
4,21.898269653320312,2,2,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272505,0,307114,468957,0.47014504355447284,1.0,1.0,0.6395900127211532,0.47014504355447284,0.7071132659912109
5,19.648075103759766,3,3,3,0,0,1.0,1.0,1.0,1.0,1.0,0.7882331693802409,0.8779953141147842,565845,478,100449,381804,0.8492422264045602,0.998749614159181,0.9991559587020128,0.9181197403573048,0.8486334159202846,0.9037485122680664
6,21.451711654663086,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8929993288869316,0.9433818686625846,301795,10594,31191,704996,0.9063293952298295,0.985195433139088,0.9660871541571566,0.935254696881658,0.8783834914721462,0.9601507186889648
7,21.077394485473633,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8476580334184844,0.9164392496056,172100,176066,31891,668519,0.8436646714806045,0.7915354878431419,0.4943044409850474,0.6233734245875721,0.4528268128201822,0.8016767501831055
8,20.097017288208008,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8917750825663613,0.9426978707477787,300268,8127,31941,708240,0.9038526951407096,0.9886552563141519,0.973647432675627,0.9374527789398754,0.8822692868224343,0.9617881774902344
9,19.913911819458008,4,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,0.5,0.8697689666221595,0.9302095324026467,297713,51999,34348,664516,0.8965611740011624,0.9274278975318032,0.851309077183511,0.8733493406163049,0.7751731500286414,0.9176530838012695
10,20.373821258544922,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8704463774338413,0.930628295800471,294528,9666,38301,706081,0.8849228883300434,0.9864952280624298,0.9682242253298882,0.9247013059183107,0.8599483204134367,0.9542551040649414
11,20.03931999206543,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8981004844542986,0.946314824475893,301602,10955,30994,705025,0.9068118678516879,0.9846992932763485,0.964950393048308,0.9349782144700559,0.8778958582568527,0.9599943161010742
12,19.729137420654297,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8740258645940686,0.9327411621409654,294344,11498,37988,704746,0.8856926206323796,0.983946811421806,0.9624054250233781,0.9224568847994434,0.8560742227263474,0.9528064727783203
13,19.93536949157715,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8727150444995833,0.9320288875705509,294224,11936,39639,702777,0.8812716593333193,0.9832995901851512,0.9610138489678599,0.9194169584530556,0.8508526629631664,0.9508142471313477
14,18.939971923828125,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8957568971192741,0.9449630396952902,300004,12648,30197,705727,0.9085496409762539,0.9823935966591265,0.9595460767882502,0.933351792711553,0.875032448687323,0.9591398239135742
15,24.00064468383789,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.899959708984619,0.9471861853383852,305220,7987,27665,707704,0.9168932213827599,0.988840155877327,0.9744992927999694,0.9448190041046786,0.8954094205449553,0.9659996032714844
16,18.87655258178711,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9080065501277372,0.9515547983898275,310540,10838,24539,702659,0.926766523715303,0.9848100272320697,0.9662764719426967,0.9461091891776613,0.8977298022357965,0.9662618637084961
17,19.643306732177734,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8925415432098255,0.9431802475709214,303315,12154,32420,700687,0.9034357454540038,0.9829499144970617,0.9614732350880753,0.9315514032469088,0.8718729249846934,0.9574909210205078
18,23.77629280090332,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8969390516746267,0.9456661860588297,303644,11794,31942,701196,0.9048172450578987,0.983458393525856,0.9626107190636511,0.9328196809948635,0.8740975300823306,0.9582901000976562
19,25.180816650390625,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8909667694556028,0.9419712756404675,303149,8269,29183,707975,0.9121872103799815,0.98845505163045,0.9734472638062026,0.9418221359223301,0.8900414267720882,0.9642829895019531
20,19.68526840209961,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8899127315183325,0.9414719371298177,303154,7315,30212,707895,0.9093728814576172,0.9897722347282616,0.9764388715137421,0.9417133271723346,0.8898471003666186,0.9642114639282227
21,20.87688446044922,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.890785092907058,0.9420005583725939,304095,10660,30330,703491,0.9093070195111012,0.9850731848026538,0.9661323886832616,0.9368588064943467,0.881217671008592,0.9609088897705078
22,18.714427947998047,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8883685214890433,0.9404929713467085,302394,11361,29938,704883,0.9099153858190002,0.9841380870206242,0.963790218482574,0.936078268097021,0.8798375294230607,0.9606142044067383
23,19.260883331298828,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9086815110111466,0.9520617208477151,307420,8081,25454,707621,0.9235326279613307,0.9887089878189526,0.97438676898013,0.9482783882783883,0.9016439119531903,0.9680185317993164
24,19.07491683959961,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8893176583825679,0.9412636172227015,305438,7883,31526,703729,0.9064410441471492,0.9889223340809318,0.9748404990409197,0.9393973411657965,0.8857203339451989,0.9624166488647461
25,19.72794532775879,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9041088496659708,0.9493978033152608,308031,9866,26116,704563,0.9218427817697001,0.9861903702117355,0.9689647904824519,0.9448166074682076,0.895405115504356,0.9656848907470703
26,18.236875534057617,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8965667752018567,0.9454032745495089,304035,7649,30162,706730,0.9097478433379115,0.9892927983605341,0.9754591188511441,0.941458256242249,0.8893917143977113,0.9639406204223633
27,19.25826072692871,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8933076894885441,0.9435875972390293,298805,8263,31750,709758,0.9039494184023839,0.988491980039581,0.9730906509307384,0.9372466175153656,0.8819041491302115,0.9618406295776367
28,19.253253936767578,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.904670436862987,0.9498264129896967,305600,9069,25693,708214,0.9224462937641302,0.9873564548441829,0.9711792391369979,0.9461856889414547,0.8978675645342312,0.9668483734130859
29,19.639253616333008,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9012862638811898,0.94782452675009,306703,11549,27465,702859,0.9178108017524119,0.9838341675905085,0.9637111471412592,0.9402010974525612,0.8871504727855443,0.9627933502197266
30,19.924640655517578,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8876548735092763,0.940437944360553,299140,2878,33187,713371,0.9001375151582628,0.9959818443027495,0.9904707666430478,0.943146079814612,0.8924091227756149,0.9656057357788086
31,19.449472427368164,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.887024234350712,0.9399567543420585,299579,2891,31871,714235,0.9038437170010559,0.9959686303383227,0.9904420273084934,0.9451634275618375,0.8960283064296631,0.9668483734130859
32,19.968271255493164,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8815313158018427,0.9367708810461071,297552,7933,33767,709324,0.8980831162716295,0.9889398081859082,0.974031458173069,0.9345167429852828,0.8770825227264688,0.9602317810058594
33,19.237041473388672,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.889155452291361,0.941161770358512,300550,5409,32190,710427,0.90325779888201,0.992443799976531,0.9823211606783916,0.9411318946796535,0.8888093710169186,0.9641427993774414
34,19.648313522338867,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8986967735714484,0.9465819022635131,302934,2909,29166,713567,0.9121770551038844,0.9959398500438256,0.9904885840120585,0.9497212133372417,0.9042563035619938,0.9694108963012695
35,19.304990768432617,4,2,2,2,0,0.5,1.0,0.6666666666666666,1.0,0.5,0.8907502216772982,0.9420112934835942,300002,69617,28914,650043,0.912093057193934,0.9032640413528611,0.8116519984091727,0.8589462231670568,0.7527657684558117,0.9060335159301758
36,18.893003463745117,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9225914963711364,0.9597265603383602,306020,1945,22879,717732,0.9304376115464018,0.9972973986941364,0.9936843472472521,0.9610215053763441,0.92496765847348,0.9763259887695312
37,20.53976058959961,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8781693097356591,0.9349927305788801,296936,9106,35284,707250,0.8937932695201974,0.9872884431762978,0.9702459139595219,0.9304517580554694,0.8699483777971793,0.9576663970947266
38,20.287752151489258,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8982225038516333,0.946176666324872,302012,1933,28543,716088,0.9136512834475352,0.9973078781818359,0.9936402967642172,0.9519684791174153,0.9083395490965087,0.9709358215332031
39,19.709110260009766,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9059890163419573,0.9504870765538298,306251,3168,25042,714115,0.9244113217001265,0.9955833332171542,0.9897614561484589,0.955970857421119,0.9156553379915745,0.9730968475341797
40,19.53291893005371,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9033807963063911,0.9491485568027872,305081,2935,27251,713309,0.9180006740247704,0.9959022344340756,0.9904712742195211,0.952860007370992,0.9099642971124506,0.9712123870849609
41,20.323514938354492,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8997117515620534,0.9471415377823553,304772,2948,28883,711973,0.9134345356730755,0.9958764674698324,0.9904198622124009,0.9503706879750536,0.9054345920862262,0.9696435928344727
42,18.785476684570312,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8927339557185157,0.9431964904667314,303942,7686,30324,706624,0.9092818294412235,0.9892399658411614,0.9753359775116485,0.9411513344294884,0.888844048287479,0.9637508392333984
43,19.501209259033203,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9102939555306935,0.9529429705043497,307176,9312,24816,707272,0.9252512108725511,0.9870050126712291,0.9705770834913172,0.9473723168023687,0.9000070318543,0.9674530029296875
44,20.620346069335938,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9211423407679442,0.9589403262362873,307515,9652,22010,709399,0.9332068887034367,0.9865767518576568,0.969568082429761,0.9510400623480729,0.9066505099107546,0.9698047637939453
45,18.776655197143555,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9048332974710405,0.9499370256389623,306931,7864,26453,707328,0.9206530607347683,0.989004351279097,0.9750186629393732,0.9470562915490937,0.899436773255814,0.9672727584838867
46,18.72992515563965,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9044211843069914,0.9497354476863789,306508,8250,27147,706671,0.9186375147982198,0.9884602634416949,0.9737893874023853,0.9454097928326545,0.8964712420116699,0.966242790222168
47,32.51457214355469,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9091867313308923,0.9524003195002131,306516,9499,25732,706829,0.9225518287544244,0.986739314950693,0.9699413002547348,0.9456532302476002,0.8969091169783495,0.9664011001586914
48,19.22607421875,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9210264407897455,0.9588236986856491,310120,9433,21098,707925,0.9363017710390136,0.986850359234859,0.9704806401442014,0.953084879320068,0.9103745475574708,0.9708833694458008
49,20.525455474853516,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8812512801234538,0.9367687412132581,300726,13196,34584,700070,0.8968596224389371,0.981499188241133,0.9579640802492339,0.9264053527860611,0.8629004952568966,0.9544334411621094
50,20.041465759277344,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.9086008250604956,0.9520504903677725,307150,14671,25620,701135,0.9230098867085375,0.979504223211317,0.9544125461048223,0.9384485885079386,0.8840349872352428,0.9615755081176758
51,33.33234786987305,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8912166564263606,0.9422319786946258,302936,13935,29680,702025,0.9107679726772013,0.9805366221576625,0.9560231135067583,0.9328470007867747,0.8741455081647435,0.9584054946899414
52,27.100086212158203,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8958889144967864,0.9448819469129037,305007,14023,28491,701055,0.9145692028138099,0.9803895519090225,0.956044886060872,0.9348472402716819,0.8776649468665203,0.9594554901123047
53,25.87747573852539,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8772994500511895,0.9343533086927605,301401,12675,34953,699547,0.8960826985854189,0.9822035825908214,0.9596435257708326,0.926774595267746,0.8635414249245764,0.9545783996582031
54,23.98538589477539,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8966076547337148,0.9452328097205369,307122,12703,28464,700287,0.9151812054138134,0.9821834808342333,0.9602814038927538,0.9371890310049724,0.8818021815216673,0.9607400894165039
55,26.31855010986328,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.899022469610422,0.9466836606853155,305666,12320,29208,701382,0.9127791348387752,0.9827378934064918,0.9612561559313932,0.936390650369145,0.8803896380697823,0.9603958129882812
56,27.355194091796875,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8000971560392185,0.8843423533507424,303984,13332,57754,673506,0.840343010687293,0.9805893092694347,0.9579851000264721,0.8953161309704383,0.8104727117604714,0.9322071075439453
57,34.708499908447266,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.89574976865887,0.9448197869567063,307374,13877,28927,698398,0.9139847933844978,0.9805173563581482,0.9568032473050667,0.934904007591795,0.8777650223600569,0.9591789245605469
58,32.834529876708984,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8888300310223923,0.941003012279019,304147,12923,31922,699584,0.9050135537642567,0.9818626343320136,0.9592424385782319,0.9313392708137165,0.8715013524665322,0.9572324752807617
59,37.7049446105957,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.897755548982927,0.9460188929567865,305516,9295,29133,704632,0.9129446076336699,0.9869804615878094,0.970474348100924,0.9408308440858559,0.8882725094782872,0.9633522033691406
60,27.071237564086914,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.895977509061765,0.9450085346381283,308523,10975,29794,699284,0.9119346648261837,0.9845478902766456,0.9656492372409217,0.9380236084613455,0.8832810370692715,0.9611196517944336
61,29.695510864257812,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.899612510934518,0.9470688969004425,306379,10269,28808,703120,0.9140539460062592,0.9856053289299387,0.9675696672645967,0.9400507797218621,0.8868828447038117,0.962733268737793
