img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision,recall,f1,mean_iou
0,471.0686206817627,2,2,1,1,1,0.5,0.5,0.5,0.718634001484781
1,31.888961791992188,2,2,2,0,0,1.0,1.0,1.0,0.6713234477560647
2,15.931129455566406,2,2,2,0,0,1.0,1.0,1.0,0.8839390046197892
3,14.797449111938477,2,2,2,0,0,1.0,1.0,1.0,0.8108466157566843
4,15.532255172729492,4,2,1,3,1,0.25,0.5,0.3333333333333333,0.8829962855963681
5,14.74142074584961,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.9335082272743387
6,15.712976455688477,2,2,1,1,1,0.5,0.5,0.5,0.874536530244712
7,14.86515998840332,4,2,1,3,1,0.25,0.5,0.3333333333333333,0.8326186892315203
8,18.303632736206055,2,2,1,1,1,0.5,0.5,0.5,0.9111790414456885
9,14.70804214477539,2,2,1,1,1,0.5,0.5,0.5,0.8914911131465142
10,15.480756759643555,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.7538459374078609
11,14.859914779663086,2,2,2,0,0,1.0,1.0,1.0,0.8058092141130611
12,15.368223190307617,2,2,2,0,0,1.0,1.0,1.0,0.7546823538968284
13,15.006065368652344,2,2,2,0,0,1.0,1.0,1.0,0.8409624384859606
14,15.717029571533203,2,2,2,0,0,1.0,1.0,1.0,0.8488611252595525
15,14.845132827758789,2,2,1,1,1,0.5,0.5,0.5,0.8495842477199058
16,16.51310920715332,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.6738016344778511
17,14.991283416748047,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.693864451576364
18,15.053510665893555,2,2,1,1,1,0.5,0.5,0.5,0.8996622700926475
19,15.580177307128906,2,2,1,1,1,0.5,0.5,0.5,0.9346279713144502
20,15.61117172241211,2,2,1,1,1,0.5,0.5,0.5,0.9419540498806794
21,14.913082122802734,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.9484068260728765
22,15.790224075317383,2,2,2,0,0,1.0,1.0,1.0,0.8005137896449506
23,15.163183212280273,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.7747221802791724
24,15.567779541015625,2,2,1,1,1,0.5,0.5,0.5,0.9256656906317126
25,14.908790588378906,2,2,1,1,1,0.5,0.5,0.5,0.924250055511327
26,15.609264373779297,2,2,2,0,0,1.0,1.0,1.0,0.7881393249515655
27,15.61880111694336,2,2,2,0,0,1.0,1.0,1.0,0.779797833670734
28,15.616893768310547,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.7958488183893643
29,14.935493469238281,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.9661283683993899
